

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         0          14          28          10         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0           8          17           6         36  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           2           5           2         36  . . . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         6         105         207          36         60  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         5          98         179          73         60  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         5          94         170          69         60  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         4          78         142          54         60  . . . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           2           5           2         60  . . . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           2           4           2         60  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         2          28          61          18         90  . . . . . . . . . . . . . . . . . . cwt_do.addScopeRelation
         1          15          39           9         90  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0           9          32           5         90  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           3           7           2         90  . . . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         1          59         148          45         18  . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_uniID
         0          42          47          35         18  . . . . . . . . . . . . . . . . . . . $g$getParent
         0          22          25          19         18  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          12          21          11         60  . . . . . . . . . . . . . . . . . . cwt_do.getOwnertPO
         0          87         191          64          6  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
         0          32          83          18         12  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          14          20           9         12  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          27          46          25         18  . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_maxVc
         0          20          33          18         18  . . . . . . . . . . . . . . . . . . . $g$getParent
