

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         0          19          19          19          1  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.bindCatalog
         0          72          72          72          1  . . . . . . . . . . . . . . . . . cwt_do.getCatalogHelper
         0          57          57          57          1  . . . . . . . . . . . . . . . . . . cwt_do.getClsInterface
         0          55          55          55          1  . . . . . . . . . . . . . . . . . cwt_do.getClsInterface
         0         339         339         339          1  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.onInit
         0         319         319         319          1  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.initGlobalVariables
         0         142         142         142          1  . . . . . . . . . . . . . . . . . . cwt_do.getCatalogHelper
         0         109         109         109          1  . . . . . . . . . . . . . . . . . . . cwt_do.getClsInterface
         0          59          59          59          1  . . . . . . . . . . . . . . . . . . cwt_do.getClsInterface
         0          10          10          10          1  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.initial
         0           3           3           3          1  . . . . . . . . . . . . . . . . . com.conceptwave.system.UserInterface.onInit
         0         102         102         102          1  . . . . . . . . . . . . . . cwt_do.api.orderClassUI.updateItemsAndOrderState
         0           7           7           7          1  . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         0           3           3           3          1  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByType
         0           5          17           2          5  . . . . . . . . . . . . . . cwt_do.relatedObject.cwOnDocLoad
         0          19          19          19          1  . . . . . . . . . . . . . cwt_do.orderInstance.cwOnDocInit
         0         189         189         189          1  . . . . . . . . . . . . cwt_do.api.orderClassUI.onInit
         0         175         175         175          1  . . . . . . . . . . . . . cwt_do.api.orderClassUI.initGlobalVariables
         0          32          32          32          1  . . . . . . . . . . . . . . cwt_do.Constants
         0           1           1           1          1  . . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0           2           2           2          1  . . . . . . . . . . . . . com.conceptwave.system.UserInterface.onInit
         0          13          13          13          1  . . . . . . . . . . . . cwt_do.api.orderClassFactory
         0          11          11          11          1  . . . . . . . . . . . api_common.isFault
       527     527,029     527,029     527,029          1  . . . . . . . . . cwt_do.api.orderClassUI.getOrderItems
       524       1,532       4,008         933        342  . . . . . . . . . . cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
       270         791       2,913         327        342  . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharacteristics
        14           1           9           1      8,508  . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0           5           7           4         18  . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
       165         482         815         392        342  . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharges
        28          83         258          32        342  . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemRelations
         3          11          26           8        342  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         2           7          17           5        342  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         1           3          20           2        552  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           1           3           1        552  . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         6          18          36          16        342  . . . . . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectsBySource
         4          12          61           6        342  . . . . . . . . . . . cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         1           2          21           1        684  . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0           9           9           9          1  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
       249     124,706     124,755     124,656          2  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.reload
       249     124,680     124,722     124,639          2  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.initial
       249     124,632     124,671     124,592          2  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.loadItems
       127      63,989      64,914      63,063          2  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.recalculateCalculatedValuesInBasket
        44       1,836       3,245       1,189         24  . . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
        43         911       1,741         566         48  . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        33          65         205          41        504  . . . . . . . . . . . . . . . $g$getSourceRelations
        16           6          36           5      2,336  . . . . . . . . . . . . . . . . $g$getItemById
         4           7          23           6        552  . . . . . . . . . . . . . . . $g$getItemById
        14         392         484         313         36  . . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
        13         187         353         103         72  . . . . . . . . . . . . . . $g$getParent
         8          64         115          42        126  . . . . . . . . . . . . . . . $g$getSourceRelations
         3           6          34           5        568  . . . . . . . . . . . . . . . . $g$getItemById
         2           7          14           6        306  . . . . . . . . . . . . . . . $g$getItemById
        14       1,172       2,038         957         12  . . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
        13       1,164       2,030         951         12  . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        10          65         182          42        156  . . . . . . . . . . . . . . . $g$getSourceRelations
         4           7          34           5        700  . . . . . . . . . . . . . . . . $g$getItemById
         1           8          21           6        192  . . . . . . . . . . . . . . . $g$getItemById
        13         364         457         336         36  . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
        12         355         448         327         36  . . . . . . . . . . . . . . $g$getParent
         8          55         112          32        144  . . . . . . . . . . . . . . . $g$getSourceRelations
         3           6          13           5        548  . . . . . . . . . . . . . . . . $g$getItemById
         1           7          12           6        252  . . . . . . . . . . . . . . . $g$getItemById
        13         363         540         326         36  . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
        12         354         528         318         36  . . . . . . . . . . . . . . $g$getParent
         7          55         108          31        144  . . . . . . . . . . . . . . . $g$getSourceRelations
         3           6          13           5        548  . . . . . . . . . . . . . . . . $g$getItemById
         1           7          48           6        252  . . . . . . . . . . . . . . . $g$getItemById
        12       1,083       1,803         957         12  . . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
        12       1,075       1,789         951         12  . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         9          60         195          42        156  . . . . . . . . . . . . . . . $g$getSourceRelations
         4           6          18           5        700  . . . . . . . . . . . . . . . . $g$getItemById
         1           7          17           6        192  . . . . . . . . . . . . . . . $g$getItemById
         4         125         180         112         36  . . . . . . . . . . . . . $g$dvr_rsUni_uniID
         4         116         168         105         36  . . . . . . . . . . . . . . $g$getParent
         2          74         107          67         36  . . . . . . . . . . . . . . . $g$getSourceRelations
         1           7          14           5        180  . . . . . . . . . . . . . . . . $g$getItemById
         0           7          12           6         72  . . . . . . . . . . . . . . . $g$getItemById
         4         124         186         114         36  . . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
         4         113         171         104         36  . . . . . . . . . . . . . . $g$getParent
         2          61          91          56         36  . . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          13           5        148  . . . . . . . . . . . . . . . . $g$getItemById
         0           6          12           6        108  . . . . . . . . . . . . . . . $g$getItemById
         4         116         159         104         36  . . . . . . . . . . . . . $g$dvr_rsUni_maxVc
         3         107         146          96         36  . . . . . . . . . . . . . . $g$getParent
         2          67          98          61         36  . . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          12           5        180  . . . . . . . . . . . . . . . . $g$getItemById
         0           6          19           6         72  . . . . . . . . . . . . . . . $g$getItemById
         0          11          23           9         24  . . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
         0           5           8           4         36  . . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0           4           6           3         36  . . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
         0          11          20           8         12  . . . . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         0          11          21           8         12  . . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
        56       2,338      27,127         142         24  . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
        55       1,162      26,910          62         48  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        55       1,059      26,737          53         52  . . . . . . . . . . . . . . $g$getSourceRelations
         2           6          53           5        316  . . . . . . . . . . . . . . . $g$getItemById
         0           7          12           6          8  . . . . . . . . . . . . . . $g$getItemById
         9       4,959       4,972       4,947          2  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.remapGUIDs
         0          12          12          12          2  . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
         3          90         141          80         36  . . . . . . . . . . . . $g$dvr_rsUni_uniID
         2          81         126          71         36  . . . . . . . . . . . . . $g$getParent
         2          69         110          62         36  . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          30           5        180  . . . . . . . . . . . . . . . $g$getItemById
         2          83         129          72         36  . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
         2          66         104          58         36  . . . . . . . . . . . . . $g$getParent
         2          55          89          49         36  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          13           5        144  . . . . . . . . . . . . . . . $g$getItemById
         2          79         124          71         36  . . . . . . . . . . . . $g$dvr_rsUni_maxVc
         2          71         111          64         36  . . . . . . . . . . . . . $g$getParent
         2          62          96          55         36  . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          12           5        180  . . . . . . . . . . . . . . . $g$getItemById
         2          77         115          68         36  . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
         2          69         103          61         36  . . . . . . . . . . . . . $g$getParent
         2          59          88          51         36  . . . . . . . . . . . . . . $g$getSourceRelations
         1           7          14           5        148  . . . . . . . . . . . . . . . $g$getItemById
         2          75         164          62         36  . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
         2          68         154          56         36  . . . . . . . . . . . . . $g$getParent
         2          58         139          48         36  . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          19           5        148  . . . . . . . . . . . . . . . $g$getItemById
         2          70         107          62         36  . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
         2          61          94          55         36  . . . . . . . . . . . . . $g$getParent
         1          52          78          47         36  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          13           5        144  . . . . . . . . . . . . . . . $g$getItemById
         1         104         194          88         12  . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
         1          97         181          83         12  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         1          83         134          74         12  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         84  . . . . . . . . . . . . . . . $g$getItemById
         0           9          11           6          2  . . . . . . . . . . . . . . $g$getItemById
         1          98         141          88         12  . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
         1          92         132          82         12  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          78          89          74         12  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          10           5         84  . . . . . . . . . . . . . . . $g$getItemById
         0           9          12           6          2  . . . . . . . . . . . . . . $g$getItemById
         0           8          13           6         36  . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0           5           9           4         36  . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
         0          12          25           8         12  . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
         0          10          33           5         12  . . . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         0           4           8           3         24  . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
         0          26          27          25          2  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.updateSites
         0          11          11          11          2  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.updateAccounts
         0          16          17          14          2  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.bindCatalog
        56      56,089      56,089      56,089          1  . . . . . . . . . cwt_do.api.orderClassUI.save
        55      55,850      55,850      55,850          1  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.save
        54      54,481      54,481      54,481          1  . . . . . . . . . . . cwt_do.orderInstance.cwOnDocStore
        28       2,340      25,964         144         12  . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
        27       1,163      25,743          62         24  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        27       1,059      25,565          54         26  . . . . . . . . . . . . . . $g$getSourceRelations
         1           6          53           5        158  . . . . . . . . . . . . . . . $g$getItemById
         0           6           8           6          4  . . . . . . . . . . . . . . $g$getItemById
         1          93         144          79         18  . . . . . . . . . . . . $g$dvr_rsUni_uniID
         1          83         129          71         18  . . . . . . . . . . . . . $g$getParent
         1          71         112          61         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           7          14           5         90  . . . . . . . . . . . . . . . $g$getItemById
         1          80         125          68         18  . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
         1          71         111          61         18  . . . . . . . . . . . . . $g$getParent
         1          61          94          52         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           7          13           5         74  . . . . . . . . . . . . . . . $g$getItemById
         1          78          99          71         18  . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
         1          63          81          58         18  . . . . . . . . . . . . . $g$getParent
         0          53          71          49         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          11           5         72  . . . . . . . . . . . . . . . $g$getItemById
         1          76         127          71         18  . . . . . . . . . . . . $g$dvr_rsUni_maxVc
         1          68         114          64         18  . . . . . . . . . . . . . $g$getParent
         1          59          99          55         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          11           5         90  . . . . . . . . . . . . . . . $g$getItemById
         1          71         101          62         18  . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
         1          63          89          55         18  . . . . . . . . . . . . . $g$getParent
         0          53          76          47         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          11           5         72  . . . . . . . . . . . . . . . $g$getItemById
         1          71         112          62         18  . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
         1          64         100          56         18  . . . . . . . . . . . . . $g$getParent
         0          54          85          48         18  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         74  . . . . . . . . . . . . . . . $g$getItemById
         0         101         122          89          6  . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
         0          94         116          83          6  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          83         107          74          6  . . . . . . . . . . . . . . $g$getSourceRelations
         0           6          11           5         42  . . . . . . . . . . . . . . . $g$getItemById
         0           6           6           6          1  . . . . . . . . . . . . . . $g$getItemById
         0          93         114          87          6  . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
         0          87         107          82          6  . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          75          79          73          6  . . . . . . . . . . . . . . $g$getSourceRelations
         0           5           7           5         42  . . . . . . . . . . . . . . . $g$getItemById
         0           6           6           6          1  . . . . . . . . . . . . . . $g$getItemById
         0           8          14           6         18  . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0           4           7           4         18  . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
         0          13          19           9          6  . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
         0          12          41           5          6  . . . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         0           4           8           3         12  . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
         0         472         472         472          1  . . . . . . . . . . . cwt_do.siteDoc.cwOnDocVisualKey
         0         459         459         459          1  . . . . . . . . . . . . cwt_on_ovr.getSiteVisualKeyById
         0         450         450         450          1  . . . . . . . . . . . . . cwt_on_cim_ext.loadSiteUIDoc
         0          21          21          21          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.updatedBy-623915279.cwOnItemConversion
         0          12          12          12          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.relatedOrders--1406557411.cwOnItemConversion
         0           7           7           7          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.createdBy-1080670400.cwOnItemConversion
         0           5           5           5          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.attrs--1024322927.cwOnItemConversion
         0           5           5           5          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.ordVer--1304809197.cwOnItemConversion
         0           4           4           4          1  . . . . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.notes--157140706.cwOnItemConversion
        54      54,558      54,558      54,558          1  . . . . . . . . . cwt_do.orderInstance.cwOnDocStore
        27       2,251      24,835         165         12  . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
        26       1,119      24,608          71         24  . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        26       1,016      24,422          61         26  . . . . . . . . . . . . $g$getSourceRelations
         1           6          48           5        158  . . . . . . . . . . . . . $g$getItemById
         0           7           7           6          4  . . . . . . . . . . . . $g$getItemById
         1         100         125          93         18  . . . . . . . . . . $g$dvr_rsUni_uniID
         1          89         112          83         18  . . . . . . . . . . . $g$getParent
         1          75          96          71         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6          13           5         90  . . . . . . . . . . . . . $g$getItemById
         1          85          92          83         18  . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
         1          69          74          68         18  . . . . . . . . . . . $g$getParent
         1          58          60          57         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6           7           5         72  . . . . . . . . . . . . . $g$getItemById
         1          84         104          78         18  . . . . . . . . . . $g$CER2.0-10.3-R12-002
         1          76          95          70         18  . . . . . . . . . . . $g$getParent
         1          64          84          59         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6          17           5         74  . . . . . . . . . . . . . $g$getItemById
         1          84          94          79         18  . . . . . . . . . . $g$dvr_rsUni_maxVc
         1          75          84          71         18  . . . . . . . . . . . $g$getParent
         1          65          74          61         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6          10           5         90  . . . . . . . . . . . . . $g$getItemById
         1          79         127          72         18  . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
         1          71         115          65         18  . . . . . . . . . . . $g$getParent
         1          61          99          55         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6          13           5         74  . . . . . . . . . . . . . $g$getItemById
         1          76         107          72         18  . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
         1          66          94          63         18  . . . . . . . . . . . $g$getParent
         1          56          82          53         18  . . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         72  . . . . . . . . . . . . . $g$getItemById
         0         113         144         101          6  . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
         0         107         136          95          6  . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          92         107          85          6  . . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         42  . . . . . . . . . . . . . $g$getItemById
         0           7           7           7          1  . . . . . . . . . . . . $g$getItemById
         0         110         136         101          6  . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
         0         103         128          95          6  . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          89          95          85          6  . . . . . . . . . . . . $g$getSourceRelations
         0           6           9           5         42  . . . . . . . . . . . . . $g$getItemById
         0           7           7           7          1  . . . . . . . . . . . . $g$getItemById
         0           7          11           6         18  . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0           5           8           4         18  . . . . . . . . . . $g$CER2.0-10.3-R103-002
         0          11          17          10          6  . . . . . . . . . . $g$CER2.0-10.3-R07-002
         0          10          31           5          6  . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         0           4           8           3         12  . . . . . . . . . . $g$CER2.0-10.3-R13-002
        12          17         109          11        696  . . . . . . . . . cwt_do.doCatalogTypeConfig.isService
         3           5          26           2        696  . . . . . . . . . . cwt_dict.isOneOf
         3           5          92           3        696  . . . . . . . . . . cwt_do.doCatalogTypeConfig.getServiceTypes
        10          96         185          53        114  . . . . . . . . . eoc_commons.validateCharacteristic
         4          20          99           3        228  . . . . . . . . . . eoc_commons.toItemsMap
         7          17         112          10        432  . . . . . . . . . cwt_do.doCatalogTypeConfig.isResource
         2           5          88           3        432  . . . . . . . . . . cwt_do.doCatalogTypeConfig.getResourceTypes
         2           5          18           3        432  . . . . . . . . . . cwt_dict.isOneOf
         2           8          57           2        361  . . . . . . . . . eoc_commons.isFault
         1           2          15           1        787  . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0         677         677         677          1  . . . . . . . . . cwt_do.api.orderClassUI.loadOrder
         0         666         666         666          1  . . . . . . . . . . cwt_do.api.orderClassUI.init
         0          85          85          85          1  . . . . . . . . . . . cwt_do.api.orderClassUI.updateItemsAndOrderState
         0           5           5           5          1  . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         0           4           4           4          1  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByType
         0          13          13          13          1  . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         0           5          11           4         78  . . . . . . . . . eoc_commons.toItemsMap
         0           5          10           3         78  . . . . . . . . . cwt_do.api.orderClassUI.updateProductPrice
         0           5          11           3         78  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
         0         264         264         264          1  . . . . . . . . . cwt_do.api.orderClassUI.onInit
         0         232         232         232          1  . . . . . . . . . . cwt_do.api.orderClassUI.initGlobalVariables
         0          34          34          34          1  . . . . . . . . . . . cwt_do.Constants
         0           3           3           3          1  . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0           2           2           2          1  . . . . . . . . . . com.conceptwave.system.UserInterface.onInit
         0         259         259         259          1  . . . . . . . . . cwt_do.api.orderClassUI.findRelatedObjects
         0         248         248         248          1  . . . . . . . . . . cwt_do.api.orderClassUI.fetchRelatedObjects
         0           2           3           2          3  . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0          56          56          56          1  . . . . . . . . . cwt_do.Constants
         0          34          34          34          1  . . . . . . . . . cwt_do.getClsCatalogTypes
         0          11          11          11          1  . . . . . . . . . cwt_do.api.orderClassFactory
         0           8           8           8          1  . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         0           4           4           4          1  . . . . . . . . api_common.isFault
         0           6           6           6          1  . . . . . . . eoc_commons.isFault
       440     220,146     440,063         228          2  . . . . . . cwt_do.api.orderClassUI.toOrder
       439     219,837     439,636          38          2  . . . . . . . cwt_do.api.orderClassUI.getOrderItems
       437       1,278      78,483         497        342  . . . . . . . . cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
       349       1,022      78,197         305        342  . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharacteristics
        16           1          67           1      8,508  . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
        26          78         242          29        342  . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemRelations
         3          10          43           7        342  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         2           7          29           5        342  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         1           3          22           2        552  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           1          18           1        552  . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         6          17          44          14        342  . . . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectsBySource
         5          17          49          13        342  . . . . . . . . . cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         5          15          51          12        342  . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharges
         1           2          21           1        684  . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0          13          17           9          2  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
         0          92         166          18          2  . . . . . . . cwt_do.api.orderClassUI.getRelatedObjects
         0          36          52          27          3  . . . . . . . . cwt_do.api.orderClassUI.mapRelatedObjectDoc2Structure
         0           1           1           1          3  . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         0           2           2           2          2  . . . . . . . com.conceptwave.system.DataStructure.onInit
       209     209,003     209,003     209,003          1  . . . . . . cwt_do.api.orderClassUI.save
       208     208,779     208,779     208,779          1  . . . . . . . cwt_do.ClsDataOrderHelperUI.save
        58      58,670      58,670      58,670          1  . . . . . . . . cwt_do.orderInstance.cwOnDocStore
        28       2,374      25,635         161         12  . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
        28       1,176      25,425          68         24  . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        27       1,067      25,247          59         26  . . . . . . . . . . . $g$getSourceRelations
         1           8          51           5        158  . . . . . . . . . . . . $g$getItemById
         0           8          12           6          4  . . . . . . . . . . . $g$getItemById
         1         100         217          87         18  . . . . . . . . . $g$dvr_rsUni_uniID
         1          89         195          78         18  . . . . . . . . . . $g$getParent
         1          76         172          68         18  . . . . . . . . . . . $g$getSourceRelations
         0           7          19           5         90  . . . . . . . . . . . . $g$getItemById
         1          93         206          77         18  . . . . . . . . . $g$dvr_rsUni_maxVc
         1          82         185          69         18  . . . . . . . . . . $g$getParent
         1          71         164          60         18  . . . . . . . . . . . $g$getSourceRelations
         0           6          25           5         90  . . . . . . . . . . . . $g$getItemById
         1          90         194          80         18  . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
         1          73         161          64         18  . . . . . . . . . . $g$getParent
         1          61         139          54         18  . . . . . . . . . . . $g$getSourceRelations
         0           6          17           5         72  . . . . . . . . . . . . $g$getItemById
         1          78          90          74         18  . . . . . . . . . $g$CER2.0-10.3-R12-002
         1          69          80          66         18  . . . . . . . . . . $g$getParent
         1          59          69          56         18  . . . . . . . . . . . $g$getSourceRelations
         0           6           8           5         74  . . . . . . . . . . . . $g$getItemById
         1          74         129          68         18  . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
         1          65         112          60         18  . . . . . . . . . . $g$getParent
         1          55          93          51         18  . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         72  . . . . . . . . . . . . $g$getItemById
         1          73         103          68         18  . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
         1          66          92          61         18  . . . . . . . . . . $g$getParent
         1          56          79          52         18  . . . . . . . . . . . $g$getSourceRelations
         0           6          12           5         74  . . . . . . . . . . . . $g$getItemById
         0         157         254          99          6  . . . . . . . . . $g$CER2.0-6.2-R29-39-49
         0         147         239          92          6  . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0         126         174          83          6  . . . . . . . . . . . $g$getSourceRelations
         0           9          15           5         42  . . . . . . . . . . . . $g$getItemById
         0          14          14          14          1  . . . . . . . . . . . $g$getItemById
         0         146         256          98          6  . . . . . . . . . $g$CER2.0-6.2-R30-40-50
         0         136         240          92          6  . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0         115         173          82          6  . . . . . . . . . . . $g$getSourceRelations
         0           8          16           5         42  . . . . . . . . . . . . $g$getItemById
         0          13          13          13          1  . . . . . . . . . . . $g$getItemById
         0           8          16           6         18  . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0          18          27          12          6  . . . . . . . . . $g$CER2.0-10.3-R07-002
         0           4           5           4         18  . . . . . . . . . $g$CER2.0-10.3-R103-002
         0          13          35           6          6  . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         0           6          15           4         12  . . . . . . . . . $g$CER2.0-10.3-R13-002
         0          19          19          19          1  . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.createdBy-1080670400.cwOnItemConversion
         0           8           8           8          1  . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.relatedOrders--1406557411.cwOnItemConversion
         0           7           7           7          1  . . . . . . . cwt_do.api.mapOrder2OrderInstanceDoc.updatedBy-623915279.cwOnItemConversion
